0.002000 1.991007 -60.039145 1.405723 0.000168
0.005000 288.789849 -16.808961 -0.762125 0.024306
0.008000 1389.984357 -3.160402 -2.822686 0.116989
0.010000 1643.216043 -1.706707 2.758541 0.138303
0.016000 1866.000643 -0.602364 1.682854 0.157054
0.020000 1932.434508 -0.298504 1.334758 0.162645
0.032000 1980.180163 -0.086506 0.833481 0.166664
0.050000 1987.353814 -0.055096 0.534617 0.167267
0.080000 2000.000000 0.000000 0.331973 0.168332
0.100000 1995.559570 -0.019306 0.265609 0.167958
0.160000 2006.231816 0.027022 0.162566 0.168856
0.320000 2008.526309 0.036951 0.072145 0.169049
0.500000 2018.134412 0.078402 0.031277 0.169858
1.000000 2023.820005 0.102838 -0.026385 0.170337
2.000000 2021.505250 0.092898 -0.098443 0.170142
4.000000 2002.304718 0.010004 -0.224283 0.168526
8.000000 1975.741615 -0.105997 -0.432206 0.166290
16.000000 1964.709842 -0.154631 -0.871754 0.165362
20.000000 1949.677073 -0.221346 -1.100700 0.164096
32.000000 1844.414605 -0.703429 -1.805210 0.155237
40.000000 1671.338578 -1.559311 -2.310078 0.140670
50.000000 1417.083792 -2.992689 -2.901588 0.119270
60.000000 1151.026198 -4.798896 2.819022 0.096877
80.000000 710.619749 -8.987854 1.611194 0.059810
90.000000 450.452255 -12.947625 0.980721 0.037913
100.000000 254.659112 -17.901415 0.509087 0.021434
110.000000 142.167578 -22.964589 0.129244 0.011966
120.000000 82.502542 -27.691253 -0.074903 0.006944
160.000000 36.938980 -34.670902 0.201469 0.003109
200.000000 3.155625 -56.038892 -0.553051 0.000266
